Country Name,Country Code,Income group,Region,Population 2022,Average Population
Angola,AGO,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),35588987.0,33429673.6
Argelia,DZA,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),44903225.0,43433047.0
Benin,BEN,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),13352864.0,12644801.8
Botswana,BWA,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),2630296.0,2543246.4
Burkina Faso,BFA,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),22673762.0,21528286.6
Burundi,BDI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),12889576.0,12205865.2
Cabo Verde,CPV,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),593149.0,582389.2
Camerún,CMR,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),27914536.0,26492667.8
Chad,TCD,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),17723315.0,16655766.4
Comoras,COM,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),836774.0,806372.8
"Congo, República Democrática del",COD,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),99010212.0,92950347.8
"Congo, República del",COG,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),5970424.0,5704039.8
Côte d'Ivoire,CIV,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),28160542.0,26818424.0
Djibouti,DJI,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),1120849.0,1089550.8
"Egipto, República Árabe de",EGY,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),110990103.0,107415370.2
Eritrea,ERI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),3684032.0,3560880.8
Eswatini,SWZ,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),1201670.0,1180927.4
Etiopía,ETH,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),123379924.0,117220778.6
Gabón,GAB,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),2388992.0,2291508.2
Gambia,GMB,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),2705992.0,2574740.4
Ghana,GHA,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),33475870.0,32176446.6
Guinea,GIN,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),13859341.0,13205760.6
Guinea Ecuatorial,GNQ,Ingreso mediano alto,África al sur del Sahara (excluido altos ingresos),1674908.0,1592109.0
Guinea-Bissau,GNB,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),2105566.0,2015505.4
Iraq,IRQ,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),44496122.0,42548183.6
"Irán, República Islámica del",IRN,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),88550570.0,87189191.8
Jordania,JOR,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),11285869.0,10904283.2
Kenya,KEN,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),54027487.0,51984727.0
Lesotho,LSO,Países de ingreso mediano bajo,África al sur del Sahara (excluido altos ingresos),2305825.0,2253019.6
Liberia,LBR,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),5302681.0,5091672.2
Libia,LBY,Ingreso mediano alto,Oriente Medio y Norte de África (excluido altos ingresos),6812341.0,6649688.2
Líbano,LBN,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),5489739.0,5695607.8
Madagascar,MDG,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),29611714.0,28226443.8
Malawi,MWI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),20405317.0,19381468.0
Malí,MLI,Países de ingreso bajo,África al sur del Sahara (excluido altos ingresos),22593590.0,21244867.0
Marruecos,MAR,Países de ingreso mediano bajo,Oriente Medio y Norte de África (excluido altos ingresos),37457971.0,36691049.2
