Country Code,Population 2019
ABW,106442.0
AFE,667242986.0
AFG,37769499.0
AFW,454306063.0
AGO,32353588.0
ALB,2854191.0
AND,76343.0
ARB,441467739.0
ARE,9211657.0
ARG,44938712.0
ARM,2820602.0
ASM,47321.0
ATG,92117.0
AUS,25334826.0
AUT,8879920.0
AZE,10024283.0
BDI,11874838.0
BEL,11488980.0
BEN,12290444.0
BFA,20951639.0
BGD,165516222.0
BGR,6975761.0
BHR,1494188.0
BHS,404557.0
BIH,3360711.0
BLR,9419758.0
BLZ,389095.0
BMU,63911.0
BOL,11777315.0
BRA,211782878.0
BRB,280180.0
BRN,438048.0
BTN,767459.0
BWA,2499702.0
CAF,5209324.0
CAN,37618495.0
CEB,102398537.0
CHE,8575280.0
CHI,169410.0
CHL,19039485.0
CHN,1407745000.0
CIV,26147551.0
CMR,25782341.0
COD,89906890.0
COG,5570733.0
COL,50187406.0
COM,790986.0
CPV,577030.0
CRI,5084532.0
CSS,3090374.0
CUB,11316697.0
CUW,157441.0
CYM,66134.0
CYP,1228836.0
CZE,10671870.0
DEU,83092962.0
DJI,1073994.0
DMA,71428.0
DNK,5814422.0
DOM,10881882.0
DZA,42705368.0
EAP,2106374009.0
EAR,3334561751.0
EAS,2353856866.0
ECA,247195931.0
ECS,921212388.0
ECU,17343740.0
EGY,105618671.0
EMU,346517987.0
ERI,3498818.0
ESP,47134837.0
EST,1326898.0
ETH,114120594.0
EUU,447367191.0
FCS,957873862.0
FIN,5521606.0
FJI,918465.0
FRA,67388001.0
FRO,51681.0
FSM,111379.0
GAB,2242785.0
GBR,66836327.0
GEO,3720161.0
GHA,31522290.0
GIB,32685.0
GIN,12877539.0
GMB,2508883.0
GNB,1970457.0
GNQ,1553031.0
GRC,10721582.0
GRD,122724.0
GRL,56225.0
GTM,16604026.0
GUM,168624.0
GUY,798753.0
HIC,1389172209.0
HKG,7507900.0
HND,9958829.0
HPC,815100831.0
HRV,4065253.0
HTI,11160438.0
HUN,9771141.0
IBD,4832585266.0
IBT,6555193386.0
IDA,1722608120.0
IDB,572192040.0
IDN,269582878.0
IDX,1150416080.0
IMN,83933.0
IND,1383112050.0
INX,
IRL,4934340.0
IRN,86564202.0
IRQ,41563520.0
ISL,360563.0
ISR,9054000.0
ITA,59729081.0
JAM,2813773.0
JOR,10698683.0
JPN,126633000.0
KAZ,18513673.0
KEN,50951450.0
KGZ,6456200.0
KHM,16207746.0
KIR,124241.0
KNA,47712.0
KOR,51764822.0
KWT,4441100.0
LAC,582701622.0
LAO,7212053.0
LBN,5781907.0
LBR,4985289.0
LBY,6569088.0
LCA,178583.0
LCN,645293844.0
LDC,1047426093.0
LIC,648755452.0
LIE,38482.0
LKA,21803000.0
LMC,2903108878.0
LMY,6324580903.0
LSO,2225702.0
LTE,2310338402.0
LTU,2794137.0
LUX,620001.0
LVA,1913822.0
MAC,663653.0
MAF,33121.0
MAR,36304408.0
MCO,37034.0
MDA,2664224.0
MDG,27533134.0
MDV,504508.0
MEA,473201775.0
MEX,125085311.0
MHL,44728.0
MIC,5675825451.0
MKD,1876262.0
MLI,20567424.0
MLT,504062.0
MMR,53040212.0
MNA,405259403.0
MNE,622028.0
MNG,3232430.0
MNP,49858.0
MOZ,30285595.0
MRT,4383849.0
MUS,1265985.0
MWI,18867337.0
MYS,32804020.0
NAC,366012359.0
NAM,2446644.0
NCL,271240.0
NER,23443393.0
NGA,203304492.0
NIC,6663924.0
NLD,17344874.0
NOR,5347896.0
NPL,28832496.0
NRU,12132.0
NZL,4979200.0
OED,1362032167.0
OMN,4602768.0
OSS,13751038.0
PAK,223293280.0
PAN,4232532.0
PER,32824861.0
PHL,110380804.0
PLW,17916.0
PNG,9542486.0
POL,37965475.0
PRE,957503246.0
PRI,3193694.0
PRK,25755441.0
PRT,10286263.0
PRY,6530026.0
PSE,4685306.0
PSS,2536070.0
PST,1113410921.0
PYF,299717.0
QAT,2807235.0
ROU,19371648.0
RUS,145453291.0
RWA,12835028.0
SAS,1861598514.0
SAU,35827362.0
SDN,43232093.0
SEN,16000781.0
SGP,5703569.0
SLB,674993.0
SLE,8046828.0
SLV,6280217.0
SMR,34178.0
SOM,15981300.0
SRB,6945235.0
SSA,1121451424.0
SSD,10447666.0
SSF,1121549049.0
SST,19377482.0
STP,214599.0
SUR,600301.0
SVK,5454147.0
SVN,2088385.0
SWE,10278887.0
SWZ,1169613.0
SXM,39648.0
SYC,97625.0
SYR,20098251.0
TCA,43080.0
TCD,16126866.0
TEA,2080648616.0
TEC,461027359.0
TGO,8243094.0
THA,71307763.0
TJK,9337003.0
TKM,6158420.0
TLA,629795751.0
TLS,1280438.0
TMN,400574097.0
TON,104951.0
TSA,1861598514.0
TSS,1121549049.0
TTO,1519955.0
TUN,12049314.0
TUR,82579440.0
TUV,10956.0
TZA,59872579.0
UGA,42949080.0
UKR,44474512.0
UMC,2772716573.0
URY,3428409.0
USA,328329953.0
UZB,33580350.0
VCT,104924.0
VEN,28971683.0
VGB,30610.0
VIR,106669.0
VNM,95776716.0
VUT,304404.0
WLD,7742724795.0
WSM,211905.0
XKX,1788878.0
YEM,31546691.0
ZAF,58087055.0
ZMB,18380477.0
ZWE,15354608.0
