Country Code,Country Name,"Central government, Fiscal Balance (% of GDP) 2019",Current account balance (As % of GDP) 2019,Exports of goods and services (% of GDP) 2019,Imports of goods and services (% of GDP) 2019,"Inflation, consumer prices (annual %) 2019",Gross capital formation (% of GDP) 2019,Final consumption expenditure  (% of GDP) 2019,General government final consumption expenditure (% of GDP) 2019,Household final consumption expenditure  (% of GDP) 2019,Real GDP growth (annual %) 2019
AFR,Africa,-4.0090724186,-2.8119587012,24.7387422337,28.9408628104,9.1575089715,24.1396604052,79.8802492404,13.5220715339,66.3581777064,3.9833700254
AGO,Angola,-2.1869191611,0.7568798721,33.0235796408,22.4077781102,16.7712811971,28.7900581175,60.5941403519,7.9199591701,52.6741811818,1.2054864553
BDI,Burundi,-8.8399277458,-9.1649266611,6.8488683056,21.3146546851,22.0672017463,12.4121154588,102.0536709207,24.3179663469,77.7357045739,0.4227575977
BEN,Benin,-2.567505833,-7.3067174205,32.8400879674,47.3363637464,1.8720499928,28.2780824323,86.2181933468,12.0400387092,74.1781546376,6.2571181844
BFA,Burkina Faso,-2.889827802,-7.4340820093,29.0150398952,39.0259899148,1.8220828984,27.7348758671,82.2760741526,25.5544534992,56.7216206534,5.9789943869
BWA,Botswana,-1.1349691625,8.9819654321,39.1329152403,35.2743748811,3.9385741668,30.2915644787,65.8498951621,18.4856755447,47.3642196174,3.7760792908
CAF,Central African Republic,0.6300170322,-7.3146188352,17.36495304,39.2865340721,3.3341835186,15.074938838,106.8466421941,14.3452286764,92.5014135177,5.0165019392
CENTRAL,Central Africa,-0.9790836779,-0.9759448101,37.0137043553,28.9477711408,4.6967418127,21.7659266036,70.1681401819,11.0247084232,59.1434317588,3.5545084462
CIV,Cote d'Ivoire,-3.1583326929,-2.7697598279,30.3280921645,29.1616145642,2.0037303653,23.1303262649,75.7031961348,11.481097191,64.2220989438,7.0073474382
CMR,Cameroon,-2.1264895077,-3.1331135163,19.3871722411,24.0327985249,1.0707367607,25.2163767185,79.4292495654,10.723164552,68.7060850134,4.443525062
COG,"Congo, Rep.",-5.1528983415,5.0601318002,69.1552310604,49.1600915212,1.6164126595,19.2313536786,60.7735067823,19.3826813375,41.3908254447,3.6552767272
COM,Comoros,-5.4309391212,-7.667493584,9.1315119625,24.7723606002,2.0219555244,25.1154843958,90.5253642419,8.6781094674,81.8472547744,2.8153593696
CPV,Cabo Verde,-1.904892985,-7.3976631947,38.6638533476,66.640312575,1.455511074,40.2022947747,87.7741644527,18.9652169121,68.8089475406,4.1344311064
DJI,Djibouti,-16.0073481535,-16.2942754765,34.0336286501,63.9411742151,2.4438743327,35.2399446285,94.6676009365,21.1184390078,73.5491619288,5.9002774589
