Country Code,Country Name,"Central government, Fiscal Balance (% of GDP) 2019",Current account balance (As % of GDP) 2019,Exports of goods and services (% of GDP) 2019,Imports of goods and services (% of GDP) 2019,"Inflation, consumer prices (annual %) 2019",Gross capital formation (% of GDP) 2019,Final consumption expenditure  (% of GDP) 2019,General government final consumption expenditure (% of GDP) 2019,Household final consumption expenditure  (% of GDP) 2019,Real GDP growth (annual %) 2019,Population 2019,Gini Index 2019,Gross National Income Per Capita (2017 PPP$),Human Development Index (value),Inequality-adjusted Human Development Index (value),Life Expectancy at Birth (years),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Share of seats in parliament, female (% held by women)",Expected Years of Schooling (years)
AFR,Africa,-4.0090724186,-2.8119587012,24.7387422337,28.9408628104,9.1575089715,24.1396604052,79.8802492404,13.5220715339,66.3581777064,3.9833700254,,,,,,,,,,,
AGO,Angola,-2.1869191611,0.7568798721,33.0235796408,22.4077781102,16.7712811971,28.7900581175,60.5941403519,7.9199591701,52.6741811818,1.2054864553,32353588.0,,5918.033,0.597,0.346,62.448,73.03,77.2,227.687,30.0,12.168
BDI,Burundi,-8.8399277458,-9.1649266611,6.8488683056,21.3146546851,22.0672017463,12.4121154588,102.0536709207,24.3179663469,77.7357045739,0.4227575977,11874838.0,,732.043,0.423,0.272,62.351,78.51,78.77,479.29,38.75,10.105
BEN,Benin,-2.567505833,-7.3067174205,32.8400879674,47.3363637464,1.8720499928,28.2780824323,86.2181933468,12.0400387092,74.1781546376,6.2571181844,12290444.0,,3124.691,0.506,0.308,60.454,54.89,69.08,521.867,7.229,10.768
BFA,Burkina Faso,-2.889827802,-7.4340820093,29.0150398952,39.0259899148,1.8220828984,27.7348758671,82.2760741526,25.5544534992,56.7216206534,5.9789943869,20951639.0,,1993.479,0.446,0.274,60.039,34.1,48.63,283.257,13.386,8.914
BWA,Botswana,-1.1349691625,8.9819654321,39.1329152403,35.2743748811,3.9385741668,30.2915644787,65.8498951621,18.4856755447,47.3642196174,3.7760792908,2499702.0,,14328.009,0.703,0.483,65.464,58.83,69.76,117.877,10.769,11.472
CAF,Central African Republic,0.6300170322,-7.3146188352,17.36495304,39.2865340721,3.3341835186,15.074938838,106.8466421941,14.3452286764,92.5014135177,5.0165019392,5209324.0,,930.643,0.391,0.21,55.025,,,847.285,8.571,7.139
CENTRAL,Central Africa,-0.9790836779,-0.9759448101,37.0137043553,28.9477711408,4.6967418127,21.7659266036,70.1681401819,11.0247084232,59.1434317588,3.5545084462,,,,,,,,,,,
CIV,Cote d'Ivoire,-3.1583326929,-2.7697598279,30.3280921645,29.1616145642,2.0037303653,23.1303262649,75.7031961348,11.481097191,64.2220989438,7.0073474382,26147551.0,,4990.608,0.529,0.314,59.319,56.24,72.84,482.861,13.277,9.922
CMR,Cameroon,-2.1264895077,-3.1331135163,19.3871722411,24.0327985249,1.0707367607,25.2163767185,79.4292495654,10.723164552,68.7060850134,4.443525062,25782341.0,,3675.295,0.586,0.357,61.584,63.32,75.26,439.768,29.286,13.057
